TVD,Northing,Easting
0,0,0
14.67,0,-0.01
29.33,0,-0.04
44,0,-0.08
58.67,0,-0.15
73.33,0,-0.24
88,0,-0.34
102.67,0,-0.47
117.33,0,-0.61
132,0,-0.77
145.57,0,-0.93
159.14,0.01,-1.09
172.7,0.02,-1.25
186.28,0.04,-1.42
199.85,0.06,-1.58
213.42,0.09,-1.75
226.99,0.12,-1.93
240.56,0.15,-2.09
254.13,0.19,-2.25
267.7,0.21,-2.4
281.28,0.24,-2.55
294.85,0.27,-2.69
308.41,0.29,-2.82
321.98,0.31,-2.94
335.55,0.33,-3.06
349.12,0.36,-3.19
362.69,0.4,-3.33
376.27,0.44,-3.47
389.84,0.49,-3.62
403.41,0.55,-3.77
416.98,0.61,-3.94
430.81,0.69,-4.11
444.65,0.76,-4.3
458.47,0.84,-4.49
472.3,0.92,-4.69
486.14,1,-4.91
499.97,1.09,-5.13
513.54,1.18,-5.36
527.1,1.27,-5.58
540.67,1.35,-5.81
554.25,1.44,-6.04
567.82,1.52,-6.26
581.39,1.6,-6.49
594.95,1.69,-6.72
608.52,1.77,-6.94
622.09,1.87,-7.17
635.66,1.97,-7.39
649.23,2.08,-7.61
662.8,2.19,-7.82
676.37,2.32,-8.03
689.94,2.45,-8.24
703.65,2.58,-8.46
717.36,2.72,-8.67
731.07,2.87,-8.88
744.79,3.02,-9.1
758.5,3.16,-9.31
772.21,3.31,-9.53
785.92,3.46,-9.75
799.49,3.61,-9.97
813.06,3.75,-10.19
826.62,3.88,-10.43
840.2,4.01,-10.67
853.77,4.08,-10.92
867.33,4.02,-11.19
880.9,3.89,-11.47
894.47,3.76,-11.76
908.03,3.62,-12.05
921.6,3.47,-12.34
935.18,3.32,-12.64
948.74,3.17,-12.93
962.31,3.01,-13.23
975.87,2.85,-13.53
989.44,2.68,-13.82
1003,2.51,-14.12
1016.57,2.33,-14.41
1030.15,2.15,-14.7
1043.71,1.99,-14.92
1057.28,1.86,-15.01
1070.85,1.75,-15.04
1084.42,1.63,-15.06
1097.99,1.52,-15.09
1111.56,1.41,-15.11
1125.14,1.29,-15.14
1138.71,1.18,-15.16
1152.28,1.07,-15.19
1165.85,0.96,-15.21
1179.56,0.85,-15.24
1193.28,0.74,-15.27
1206.99,0.63,-15.3
1220.71,0.51,-15.33
1234.42,0.39,-15.37
1248.14,0.27,-15.41
1261.84,0.14,-15.46
1275.41,0.02,-15.5
1288.98,-0.1,-15.55
1302.55,-0.21,-15.6
1316.13,-0.31,-15.65
1329.7,-0.41,-15.7
1343.27,-0.5,-15.75
1356.84,-0.59,-15.81
1370.27,-0.67,-15.87
1383.7,-0.74,-15.93
1397.13,-0.8,-16.01
1410.55,-0.84,-16.09
1423.98,-0.88,-16.19
1437.41,-0.91,-16.29
1450.84,-0.93,-16.41
1464.41,-0.94,-16.52
1477.98,-0.96,-16.63
1491.55,-0.98,-16.73
1505.13,-1,-16.82
1518.7,-1.03,-16.91
1532.27,-1.05,-16.99
1545.84,-1.09,-17.06
1559.41,-1.11,-17.13
1572.98,-1.13,-17.17
1586.55,-1.14,-17.21
1600.13,-1.14,-17.23
1613.7,-1.12,-17.24
1627.27,-1.1,-17.24
1640.84,-1.07,-17.22
1654.41,-1.03,-17.19
1667.98,-0.99,-17.17
1681.55,-0.95,-17.14
1695.13,-0.91,-17.11
