TVD,Northing,Easting
0,0,0
145.9977578,-0.674765976,0.189032961
240.9928423,-1.629473892,0.187093772
335.9877933,-2.599740232,0.097135371
489.9793838,-4.177751107,0.38977548
602.9733444,-5.330956006,0.430332531
792.9670292,-6.846496593,0.457708002
983.9637389,-7.288665709,1.352565815
1077.962735,-7.440204086,1.662257381
1266.960731,-7.158904993,2.010134039
1457.953935,-5.603221454,2.015303204
1552.949395,-4.779098614,1.589607738
1743.935306,-2.874242152,0.281655423
1933.926172,-1.21155115,-0.129853603
2123.91997,-0.22012025,1.013868158
2314.911711,1.024448676,2.234004688
2409.906689,1.914740388,2.634030809
2600.900409,3.324073313,3.231043774
2790.897203,4.387529458,3.477050772
2980.891946,5.771634995,3.258207392
3171.889036,6.68499034,2.953087664
3361.888296,6.293953646,2.812443487
3551.886188,5.560881333,2.362776099
3742.883499,5.969065361,1.602664499
3932.876698,7.335473934,0.760395514
4123.870365,6.769035975,-0.12203345
4313.842083,3.543055932,-0.476728447
4504.806516,-0.103742389,-0.022394843
4694.789124,-2.498803835,0.732438596
4885.783962,-3.802841544,0.56050826
5075.778234,-4.944503008,-0.373031024
5211.774198,-5.661368289,-1.1306661
5306.772182,-6.028736001,-1.621061508
5401.770561,-6.243122522,-2.123122429
5496.76823,-6.083800626,-2.747535686
5592.765995,-5.834472508,-3.341917812
5782.762808,-5.467935549,-4.36464823
5973.754718,-4.179007655,-5.492122986
6163.739762,-1.903932448,-5.754624676
6362.716562,1.097982439,-5.444626751
6395.710043,1.746066027,-5.38865448
6427.674046,3.040045627,-4.728443671
6459.502534,5.693734319,-2.851429086
6491.055796,9.89899479,0.369358292
6522.218225,15.51727919,4.95210657
6551.936295,22.14326234,10.75441879
6582.113462,29.92552996,18.00670135
6611.851683,38.35562722,26.28131362
6641.130029,47.29585894,35.5921226
6668.878778,56.50434694,45.88635981
6696.987223,66.42972252,57.52092959
6724.839794,76.58224465,69.56861073
6751.284467,86.79702212,82.10129986
6777.492609,97.97401314,96.65422244
6802.469767,109.868689,112.727483
6825.506221,121.9899966,129.5541692
6848.112215,134.8330701,148.2028209
6869.712057,147.6895536,168.0020997
6889.711982,160.0853902,188.1806192
6909.324873,172.6914765,210.0945858
6927.993762,184.9133828,233.0281437
6945.758749,196.5947078,256.939522
6962.136289,207.2788927,280.9914229
6978.320068,217.7198281,306.5448334
6994.068068,227.724998,332.5425113
7009.420999,237.2536733,358.9509162
7023.190173,245.6864713,385.4060317
7035.582563,253.3284884,413.8929791
7046.422399,259.9768046,443.2543162
7056.305699,265.894721,473.1075058
7065.092094,271.0272026,502.3880661
7073.336929,275.5341361,532.9753236
7080.739714,279.0616126,563.9040603
7087.292496,281.099917,594.1305097
7093.837084,281.7229516,625.4461269
7100.081216,280.9603503,656.8179007
7105.476109,278.6061941,687.2492894
7110.232265,274.3214027,718.5962829
7114.393358,268.2429762,749.7331848
7118.055303,260.6331155,780.5951896
7119.993219,255.1013055,799.7158436
7122.914618,224.0009852,887.2271808
7121.501809,200.366002,945.6084376
7120.172962,164.9210015,1032.659102
7120.840516,131.1945011,1116.093052
7123.440628,95.53236805,1203.024911
7127.531343,49.90536988,1320.384304
7130.861863,25.5093499,1389.104795
7136.194656,-13.35166218,1498.268925
7138.831449,-37.97351812,1566.940672
7141.306998,-87.32266688,1705.376513
7140.353848,-128.4686512,1825.519765
7140.919831,-158.4019627,1914.619248
7147.329224,-209.5101204,2063.979258
7152.661672,-249.1035909,2182.416674
7155.39918,-290.5124073,2302.437508
7156.307787,-316.1046074,2373.992502
7157.841708,-344.252127,2449.923004
7157.883958,-392.4248816,2560.871467
7155.385003,-426.3881545,2633.260031
7153.329172,-466.7289732,2719.241227
7151.805081,-501.9532539,2793.273191
7150.484471,-542.3420197,2878.140408
7149.746646,-583.5753324,2963.721349
7148.614525,-622.9837135,3049.048156
7146.949363,-659.9698357,3135.446986
7146.326832,-692.7331603,3216.03271
7149.115996,-736.659946,3329.811745
7149.532239,-775.7075881,3428.333735
7148.396088,-799.199441,3485.698475
7148.056185,-834.1397268,3574.03768
7149.200235,-867.8484714,3662.846379
7149.841393,-901.2422233,3749.63596
7150.63604,-958.2316792,3895.919277
7151.293672,-1014.953241,4042.307576
7150.650439,-1037.888017,4100.980879
7149.340609,-1071.914216,4189.668407
7147.823084,-1104.729229,4277.740587
7148.511134,-1138.188085,4366.639139
7151.980218,-1172.317866,4454.154995
7154.485306,-1211.608319,4556.859279
7155.106642,-1239.165554,4631.959771
7154.794924,-1272.097948,4719.994793
7152.67372,-1313.916311,4830.314415
7151.197887,-1351.970693,4935.639585
7150.494104,-1381.316867,5014.338746
7150.079419,-1398.83809,5059.024675
7150.475248,-1438.497514,5159.474609
7151.634458,-1468.66065,5235.716333
7153.062808,-1516.885905,5358.583271
