TVD,Northing,Easting
0,0,0
54,0.07,-0.1
141,0.42,-0.45
228,0.88,-0.84
321.99,1.22,-1.21
417.99,1.61,-1.45
512.99,2,-1.4
607.99,2.19,-1.19
701.99,2.58,-0.46
796.98,3.2,0.45
892.98,3.46,0.85
987.98,3.45,1.15
1082.98,3.16,1.5
1177.98,2.65,1.93
1272.97,2.18,2.39
1367.97,1.5,2.63
1462.97,1.21,2.59
1557.97,1.27,2.42
1652.97,1.45,2.11
1747.97,1.68,1.57
1842.96,1.62,0.95
1883.96,1.61,0.65
1896.36,1.62,0.55
1908.76,1.65,0.45
1921.16,1.68,0.34
1933.56,1.73,0.22
1945.96,1.8,0.11
1959.53,1.87,-0.03
1973.1,1.95,-0.16
1986.67,2.03,-0.3
2000.25,2.1,-0.44
2013.82,2.18,-0.58
2027.39,2.25,-0.72
2040.95,2.32,-0.87
2054.52,2.39,-1.01
2068.09,2.43,-1.14
2081.66,2.45,-1.25
2095.24,2.44,-1.35
2108.81,2.33,-1.35
2122.38,2.08,-1.22
2135.94,1.8,-1.06
2149.51,1.51,-0.89
2163.08,1.22,-0.72
2176.64,0.92,-0.54
2190.22,0.62,-0.36
2203.78,0.31,-0.18
2217.35,0.01,0
2230.91,-0.3,0.18
2244.48,-0.61,0.35
2258.04,-0.91,0.51
2271.61,-1.22,0.67
2285.19,-1.51,0.81
2298.75,-1.73,0.91
2312.32,-1.88,0.97
2325.89,-2.02,0.99
2339.46,-2.15,1.01
2353.03,-2.28,1.03
2366.6,-2.42,1.04
2380.18,-2.55,1.06
2393.75,-2.69,1.08
2407.32,-2.83,1.09
2420.89,-2.97,1.11
2434.46,-3.11,1.12
2448.03,-3.24,1.13
2461.6,-3.37,1.14
2475.17,-3.48,1.14
2488.74,-3.59,1.14
2502.31,-3.7,1.13
2515.88,-3.79,1.12
2529.31,-3.88,1.1
2542.74,-3.98,1.09
2556.17,-4.07,1.07
2569.59,-4.17,1.04
2583.02,-4.27,1.01
2596.45,-4.37,0.98
2609.88,-4.47,0.95
2623.59,-4.57,0.91
2637.31,-4.68,0.88
2651.02,-4.79,0.85
2664.74,-4.9,0.82
2678.45,-5.01,0.8
2692.17,-5.12,0.78
2705.88,-5.24,0.77
2719.45,-5.35,0.75
2733.02,-5.46,0.74
2746.59,-5.56,0.73
2760.17,-5.66,0.73
2773.74,-5.76,0.72
2787.31,-5.85,0.72
2800.88,-5.93,0.72
2814.45,-6.01,0.72
2828.01,-6.09,0.71
2841.58,-6.17,0.7
2855.16,-6.25,0.67
2868.73,-6.33,0.65
2882.3,-6.4,0.61
2895.87,-6.48,0.57
2909.44,-6.55,0.53
2923.01,-6.62,0.49
2936.58,-6.68,0.44
2950.16,-6.74,0.4
2963.73,-6.79,0.35
2977.3,-6.84,0.31
2990.87,-6.89,0.26
3004.44,-6.93,0.22
3018.01,-6.98,0.18
3031.58,-7.01,0.13
3045.16,-7.05,0.09
3058.73,-7.09,0.04
3072.3,-7.12,0
3085.87,-7.15,-0.04
3099.44,-7.19,-0.09
3113.01,-7.23,-0.13
3126.58,-7.27,-0.17
3140.16,-7.33,-0.22
3153.73,-7.39,-0.27
3167.3,-7.46,-0.31
3180.87,-7.53,-0.36
3194.44,-7.61,-0.41
3208.01,-7.69,-0.46
3221.58,-7.78,-0.52
3235.16,-7.86,-0.58
3248.73,-7.96,-0.64
3262.3,-8.05,-0.71
3275.87,-8.15,-0.78
3289.44,-8.24,-0.85
3303.01,-8.34,-0.92
3316.58,-8.44,-1
3330.15,-8.55,-1.07
3343.72,-8.65,-1.14
3357.29,-8.75,-1.21
3370.86,-8.86,-1.29
3384.43,-8.96,-1.36
3398,-9.06,-1.42
3411.57,-9.15,-1.48
3425.15,-9.25,-1.54
3438.72,-9.33,-1.58
3452.29,-9.42,-1.62
3465.86,-9.5,-1.66
3479.57,-9.58,-1.7
3493.29,-9.64,-1.74
3507,-9.69,-1.79
3520.72,-9.73,-1.85
3534.43,-9.76,-1.91
3548.15,-9.77,-1.98
3561.86,-9.78,-2.05
3575.29,-9.77,-2.13
3588.72,-9.75,-2.21
3602.15,-9.73,-2.28
3615.57,-9.7,-2.35
3629,-9.66,-2.43
3642.43,-9.61,-2.5
3655.86,-9.55,-2.57
3669.57,-9.48,-2.63
3683.29,-9.42,-2.7
3697,-9.35,-2.75
3710.72,-9.28,-2.8
3724.43,-9.21,-2.84
3738.15,-9.14,-2.88
3751.86,-9.07,-2.91
3765.42,-9,-2.94
3778.99,-8.92,-2.96
3792.56,-8.85,-2.99
3806.14,-8.78,-3.03
3819.71,-8.7,-3.06
3833.28,-8.63,-3.1
3846.85,-8.55,-3.13
3860.42,-8.47,-3.17
3873.99,-8.4,-3.21
3887.56,-8.33,-3.24
3901.14,-8.27,-3.27
3914.71,-8.21,-3.31
3928.28,-8.15,-3.34
3941.85,-8.09,-3.37
3955.42,-8.04,-3.4
3968.99,-7.99,-3.42
3982.56,-7.94,-3.45
3996.14,-7.9,-3.47
4009.71,-7.86,-3.49
4023.28,-7.82,-3.5
4036.85,-7.78,-3.51
4050.42,-7.75,-3.52
4063.99,-7.72,-3.52
4077.56,-7.69,-3.52
4091.14,-7.66,-3.52
4104.71,-7.64,-3.52
4118.28,-7.61,-3.51
4131.85,-7.59,-3.5
4145.42,-7.57,-3.48
4158.99,-7.55,-3.46
4172.56,-7.54,-3.42
4186.14,-7.52,-3.38
4199.71,-7.51,-3.33
4213.28,-7.49,-3.27
4226.85,-7.48,-3.2
4240.42,-7.46,-3.12
4253.99,-7.45,-3.06
4267.56,-7.43,-2.99
4281.14,-7.4,-2.93
4294.71,-7.38,-2.87
4308.28,-7.34,-2.82
4321.85,-7.31,-2.77
4335.42,-7.28,-2.73
4348.99,-7.26,-2.7
4362.56,-7.25,-2.69
4376.14,-7.26,-2.69
4389.71,-7.27,-2.71
4403.28,-7.29,-2.74
4416.85,-7.33,-2.78
4430.42,-7.37,-2.84
4443.99,-7.42,-2.9
