TVD,Northing,Easting
0,0,0
189.9988183,-0.568589152,-0.116094202
284.9952026,-1.075054848,-0.710241719
379.9916425,-1.404312951,-1.433404118
474.9888368,-1.45205818,-2.131022932
570.9851273,-1.634938546,-2.924258747
665.9828778,-2.014331556,-3.453333367
760.9788208,-2.230056049,-4.283217667
855.9725338,-2.449845148,-5.352097165
951.9690575,-2.585026425,-6.144011918
1046.968014,-2.537741669,-6.578347911
1142.967,-2.589302668,-7.003294227
1332.962467,-2.966804867,-8.257376561
1427.960596,-3.350539619,-8.668059856
1523.959606,-3.482550956,-8.977481279
1618.956804,-3.215394241,-9.64821492
1713.953965,-3.013307939,-10.34900811
1808.952823,-2.860901089,-10.19076178
1904.950091,-2.914364478,-9.48323937
1999.945208,-3.449885729,-8.713933667
2094.938885,-4.057748067,-7.813667878
2189.932584,-4.685322718,-6.930447024
2285.921356,-5.812717118,-6.000870202
2380.897418,-7.524131365,-4.763748584
2476.886298,-8.285155613,-3.877558642
2571.884305,-7.852917248,-3.472788255
2667.880938,-7.378296528,-2.831337641
2762.876394,-6.555387196,-2.430720755
2857.874284,-5.983401636,-2.365073319
2953.872109,-5.40440561,-2.490980584
3048.867792,-4.653173023,-2.947808903
3144.86572,-4.187135396,-3.315152899
3239.862222,-3.436385846,-3.538682021
3334.859562,-3.076327287,-3.994343021
3429.858927,-3.193440985,-4.272573161
3525.857828,-3.147531457,-4.688352856
3620.8562,-2.874381595,-5.103293788
3716.854286,-2.687990229,-5.586258148
3811.849874,-2.553791032,-6.470667834
3906.848344,-2.559884964,-6.766839574
4002.847591,-2.878811435,-6.614029973
4097.843527,-3.442767495,-7.164036368
4193.834634,-4.476701383,-7.941635451
4288.824768,-5.813614245,-8.144095721
4383.811333,-7.396612614,-8.315784835
4479.80425,-8.390476563,-8.821534454
4575.801268,-9.040530083,-9.143098698
4669.798946,-9.612788989,-8.906995613
4765.798087,-9.653547326,-8.536849544
4860.796635,-9.237839961,-8.244281118
4956.791415,-8.723115277,-7.428980603
5051.784199,-8.427104085,-6.299544089
5146.780935,-7.890415447,-5.869263094
5241.778436,-7.318275992,-6.197218667
5344.773283,-6.559672358,-6.840203008
5438.760952,-5.283710925,-7.660754493
5534.741757,-3.726137005,-8.779301619
5629.734865,-3.361856189,-8.63945546
5724.72354,-4.032669079,-7.347742979
5820.719927,-4.086191093,-6.568120644
5883.717673,-3.678634753,-6.241456346
5912.717242,-3.594474001,-6.203671333
5946.695338,-4.593456125,-6.644484422
5978.568775,-7.182722965,-7.702042091
6010.235454,-11.46647719,-9.312555956
6041.60663,-17.39603671,-11.42377806
6072.594613,-24.88552328,-14.14260079
6102.120562,-33.66029588,-17.59575799
6131.952648,-44.26098127,-22.21489678
6161.007385,-56.40182269,-27.87871864
6188.270514,-69.68948842,-34.26830475
6215.480173,-84.82622211,-41.635879
6241.747334,-101.2881208,-49.55920287
6266.857659,-119.108806,-58.24873881
6289.958962,-137.5567542,-67.56233361
6312.627403,-157.6392594,-77.88775059
6334.197144,-178.5900224,-88.82581366
6354.618341,-200.3923908,-100.2893587
6373.244998,-222.3521465,-111.7635372
6391.150675,-245.9197913,-123.9156884
6407.521879,-270.4174475,-136.3885623
6422.482069,-295.675329,-149.1189319
6436.10318,-321.4968724,-162.2148514
6448.038071,-346.9032098,-175.3656639
6455.493422,-364.2863265,-184.4882971
6484.252409,-444.7785549,-232.255429
6491.445815,-469.1838334,-249.9487193
6497.909716,-493.0573573,-270.2402177
6503.601148,-516.290639,-291.4961247
6508.763162,-538.559417,-312.4340799
6513.438217,-560.9469866,-334.8116562
6517.213655,-582.5219773,-358.1366518
6520.231285,-603.0602767,-382.4846152
6522.750512,-621.6605442,-407.1505536
6525.350846,-639.4336932,-433.6292654
6528.098646,-655.8452813,-460.9588362
6530.784772,-670.4688422,-488.1575261
6533.604911,-684.2154149,-516.912971
6536.472542,-696.4232248,-546.348897
