TVD,Northing,Easting
0,0,0
14.1,-0.01,0
28.2,-0.03,0.01
42.3,-0.07,0.03
56.4,-0.12,0.06
70.5,-0.19,0.09
84.6,-0.28,0.13
98.7,-0.37,0.18
112.8,-0.49,0.23
126.9,-0.62,0.29
141,-0.77,0.36
154.57,-0.91,0.43
168.13,-1.06,0.51
181.7,-1.21,0.59
195.28,-1.37,0.68
208.85,-1.52,0.78
222.42,-1.68,0.88
235.99,-1.83,0.99
249.56,-1.99,1.1
263.13,-2.16,1.21
276.69,-2.32,1.31
290.27,-2.49,1.41
303.84,-2.66,1.5
317.41,-2.83,1.59
330.98,-3.01,1.67
344.55,-3.19,1.76
358.12,-3.36,1.85
371.68,-3.53,1.94
385.26,-3.7,2.04
398.83,-3.87,2.15
412.4,-4.04,2.25
425.97,-4.2,2.36
440.97,-4.38,2.49
455.97,-4.57,2.62
470.96,-4.76,2.75
485.96,-4.96,2.88
500.96,-5.17,3.02
514.53,-5.36,3.15
528.1,-5.55,3.28
541.66,-5.74,3.41
555.24,-5.94,3.54
568.81,-6.13,3.67
582.38,-6.33,3.81
595.95,-6.54,3.95
609.51,-6.74,4.09
623.08,-6.95,4.21
636.65,-7.16,4.33
650.23,-7.38,4.43
663.79,-7.6,4.52
677.36,-7.82,4.6
690.93,-8.06,4.68
704.5,-8.29,4.74
718.07,-8.53,4.79
731.63,-8.78,4.84
745.21,-9.03,4.89
758.78,-9.3,4.94
772.35,-9.45,4.97
785.92,-9.41,4.97
799.49,-9.27,4.94
813.06,-9.12,4.91
826.62,-8.95,4.87
840.2,-8.77,4.83
853.77,-8.58,4.78
867.34,-8.37,4.73
880.91,-8.15,4.67
894.62,-7.93,4.61
908.33,-7.7,4.56
922.04,-7.48,4.5
935.76,-7.27,4.44
949.47,-7.06,4.39
963.19,-6.85,4.34
976.9,-6.64,4.29
990.46,-6.45,4.24
1004.03,-6.25,4.2
1017.6,-6.05,4.15
1031.18,-5.85,4.11
1044.75,-5.66,4.06
1058.32,-5.47,4.02
1071.88,-5.28,3.99
1085.45,-5.09,3.95
1099.02,-4.9,3.9
1112.59,-4.71,3.85
1126.17,-4.53,3.8
1139.74,-4.36,3.75
1153.31,-4.18,3.69
1166.88,-4.01,3.63
1180.44,-3.84,3.57
1194.01,-3.68,3.5
1207.58,-3.52,3.43
1221.16,-3.38,3.35
1234.73,-3.24,3.28
1248.3,-3.1,3.19
1261.87,-2.98,3.11
1275.44,-2.86,3.02
1289.01,-2.74,2.93
1302.58,-2.63,2.83
1316.16,-2.52,2.73
1329.72,-2.41,2.63
1343.29,-2.31,2.53
1356.86,-2.21,2.41
1370.57,-2.11,2.3
1384.29,-2.02,2.19
1398,-1.93,2.09
1411.72,-1.83,1.98
1425.43,-1.74,1.88
1439.15,-1.65,1.78
1452.86,-1.57,1.68
1466.43,-1.48,1.59
1480,-1.4,1.5
1493.57,-1.32,1.41
1507.15,-1.24,1.33
1520.72,-1.16,1.25
1534.29,-1.09,1.18
1547.85,-1.01,1.11
1561.42,-0.94,1.05
1574.99,-0.86,0.98
1588.56,-0.78,0.91
1602.14,-0.69,0.83
1615.71,-0.6,0.76
1629.28,-0.51,0.68
1642.85,-0.41,0.6
1656.42,-0.31,0.52
1669.99,-0.21,0.43
1683.56,-0.12,0.35
1697.14,-0.03,0.27
1710.71,0.06,0.19
1724.28,0.14,0.11
1737.85,0.23,0.03
1751.42,0.3,-0.06
1764.99,0.37,-0.15
1778.56,0.42,-0.25
1792.14,0.47,-0.36
1805.71,0.5,-0.47
1819.27,0.53,-0.59
1832.84,0.55,-0.72
1846.55,0.56,-0.85
1860.27,0.57,-0.98
1873.98,0.57,-1.11
1887.7,0.58,-1.25
1901.41,0.58,-1.38
1915.13,0.57,-1.51
1928.84,0.56,-1.65
1942.41,0.56,-1.78
1955.98,0.55,-1.92
1969.55,0.55,-2.06
1983.13,0.55,-2.21
1996.7,0.55,-2.35
2010.26,0.55,-2.5
2023.83,0.56,-2.65
2037.4,0.57,-2.8
2050.97,0.59,-2.96
2064.54,0.62,-3.11
2078.12,0.65,-3.27
2091.69,0.7,-3.43
2105.26,0.75,-3.59
2118.83,0.81,-3.76
2132.26,0.88,-3.92
2145.68,0.95,-4.08
2159.11,1.01,-4.24
2172.53,1.08,-4.4
2185.96,1.15,-4.56
2199.39,1.22,-4.72
2212.82,1.29,-4.88
2226.39,1.36,-5.04
2239.96,1.43,-5.2
2253.53,1.49,-5.36
2267.1,1.55,-5.52
2280.67,1.61,-5.69
2294.24,1.66,-5.85
2307.81,1.71,-6.02
2321.38,1.76,-6.18
2334.95,1.81,-6.35
2348.52,1.86,-6.52
2362.1,1.92,-6.7
2375.67,1.97,-6.87
2389.23,2.04,-7.05
2402.8,2.1,-7.22
2416.37,2.17,-7.41
2429.94,2.24,-7.61
2443.51,2.31,-7.82
2457.09,2.39,-8.04
2470.65,2.47,-8.28
2484.22,2.56,-8.53
2497.79,2.65,-8.79
2511.36,2.75,-9.06
2524.92,2.84,-9.35
2538.49,2.94,-9.66
2552.06,3.04,-9.99
2565.63,3.15,-10.33
2579.2,3.2,-10.57
2592.77,3.17,-10.66
2606.34,3.11,-10.71
2619.91,3.05,-10.74
2633.48,2.97,-10.76
2647.06,2.87,-10.78
2660.62,2.76,-10.78
2674.19,2.63,-10.76
2687.76,2.49,-10.74
2701.47,2.34,-10.71
2715.19,2.19,-10.69
2728.9,2.04,-10.67
2742.62,1.89,-10.65
2756.33,1.73,-10.64
2770.05,1.58,-10.63
2783.76,1.42,-10.62
2797.33,1.27,-10.62
2810.9,1.13,-10.62
2824.47,0.99,-10.61
2838.04,0.87,-10.61
2851.61,0.75,-10.6
2865.18,0.64,-10.6
2878.75,0.55,-10.59
2892.32,0.46,-10.58
2905.89,0.37,-10.59
2919.46,0.3,-10.6
2933.04,0.22,-10.61
2946.61,0.16,-10.64
2960.18,0.09,-10.67
2973.75,0.04,-10.7
2987.32,-0.01,-10.74
3000.89,-0.07,-10.78
3014.46,-0.12,-10.81
3028.04,-0.17,-10.84
3041.61,-0.22,-10.87
3055.18,-0.28,-10.89
3068.75,-0.33,-10.91
3082.32,-0.38,-10.94
3095.89,-0.43,-10.96
3109.46,-0.47,-10.98
3123.04,-0.52,-11.01
3136.61,-0.55,-11.03
3150.18,-0.59,-11.06
3163.75,-0.62,-11.09
3177.32,-0.66,-11.13
3190.89,-0.69,-11.16
3204.46,-0.74,-11.2
3218.04,-0.78,-11.24
3231.61,-0.83,-11.28
3245.18,-0.88,-11.32
3258.75,-0.94,-11.36
3272.32,-1,-11.41
3285.89,-1.06,-11.46
3299.46,-1.12,-11.5
3313.04,-1.18,-11.55
3326.61,-1.24,-11.59
3340.18,-1.3,-11.64
3353.75,-1.36,-11.68
3367.32,-1.41,-11.73
3380.89,-1.47,-11.78
3394.46,-1.53,-11.83
3408.04,-1.59,-11.89
3421.61,-1.65,-11.96
3435.18,-1.7,-12.03
3448.75,-1.76,-12.1
3462.32,-1.82,-12.17
3475.89,-1.87,-12.24
3489.46,-1.93,-12.3
3503.03,-1.99,-12.37
3516.6,-2.04,-12.42
3530.17,-2.1,-12.47
3543.74,-2.16,-12.52
3557.31,-2.21,-12.56
3570.88,-2.27,-12.6
3584.45,-2.32,-12.63
3598.03,-2.38,-12.66
3611.6,-2.44,-12.68
3625.17,-2.49,-12.7
3638.74,-2.55,-12.71
3652.31,-2.61,-12.72
3665.88,-2.67,-12.74
3679.45,-2.73,-12.77
3693.03,-2.79,-12.8
3706.6,-2.85,-12.83
