TVD,Northing,Easting
0,0,0
49.99925978,0.133184093,0.194364881
99.99623014,0.484160938,0.615128637
149.9927111,0.873453176,1.061907832
199.9898451,1.163661249,1.510714675
249.9869211,1.491155227,1.93747951
279.9849337,1.7299642,2.186724812
291.9841621,1.822934433,2.286046142
303.9834373,1.919866039,2.375426989
315.9827468,2.020953754,2.455085121
327.9820785,2.126379483,2.525181358
341.9812513,2.264049493,2.589298138
355.9802549,2.4258831,2.629451048
369.9793363,2.578715225,2.675406624
383.9786263,2.663350136,2.781977322
397.9778515,2.713567304,2.920086187
411.9771656,2.789583854,3.035540881
425.9764917,2.890786915,3.127894501
440.7257997,3.008799245,3.208383196
455.4751806,3.1235035,3.279797781
470.2246411,3.233555947,3.341363473
484.9741761,3.338648893,3.392981289
499.7237609,3.440737484,3.435629435
514.4733926,3.539396836,3.469125527
529.2230685,3.634134085,3.493164712
543.9727856,3.724249214,3.507750764
557.5425541,3.803340941,3.512081615
571.1123364,3.880004814,3.507110228
584.6821319,3.953085925,3.492916995
598.2619337,4.02258025,3.469563323
611.8317292,4.089401426,3.436742182
625.4015114,4.153513257,3.394412511
638.9712729,4.214821043,3.342407631
652.541027,4.2724677,3.284546824
666.1107882,4.325865967,3.22431827
679.6805495,4.37564197,3.161064254
693.2603105,4.42162415,3.094929201
706.8300717,4.46357225,3.026234144
720.3998329,4.501385058,2.955178443
733.9695941,4.534968672,2.882027951
747.5393558,4.570746336,2.810048969
761.1091244,4.614305734,2.743917055
774.6788999,4.665017994,2.684645444
788.2586683,4.723591599,2.631257803
801.8284229,4.789938917,2.583797722
815.3981554,4.864260985,2.542259946
828.9678574,4.946763373,2.506563019
842.3975547,5.032551695,2.478932668
855.8272598,5.119571639,2.460499495
869.256965,5.208034812,2.451225055
882.6766704,5.296919422,2.451209542
896.1063677,5.386575331,2.460430882
909.536049,5.477206215,2.478836417
922.9657056,5.569113807,2.506589295
936.6753461,5.663651549,2.536858086
950.3949864,5.759785554,2.561883354
964.1046182,5.85823063,2.581912231
977.8242497,5.957683077,2.596633565
991.5338816,6.057703074,2.606070626
